ID,Main Artist,Featuring,Song,Key,BPM,Duration,Genre,Language,Country,Year Released,Arrangement,Piano?,Guitar solo?,Classic?,Main Artist_normalized,Featuring_normalized,Song_normalized,Genre_normalized,Language_normalized,Country_normalized,Arrangement_normalized,Key_normalized,BPM Range,Year Range
88.0,Fito Paez,,Mariposa tecknicolor,B,145,3:43,['Rock'],['Spanish'],['Argentina'],1994,[],,,,fito paez,,mariposa tecknicolor,['rock'],['spanish'],['argentina'],[],b,140.0,1990.0
89.0,Kelly Clarkson,,Broken & Beautiful,Ab,112,3:46,['Pop'],['English'],['USA'],2019,[],,,x,kelly clarkson,,broken & beautiful,['pop'],['english'],['usa'],[],ab,110.0,2010.0
90.0,Soda Stereo,,De Música Ligera,Bm,124,3:30,['Rock'],['Spanish'],['Argentina'],1990,[],,,,soda stereo,,de musica ligera,['rock'],['spanish'],['argentina'],[],bm,120.0,1990.0
91.0,Jason Mraz,,Make It Mine,Em,150,3:07,['Pop'],['English'],['USA'],2008,[],,,x,jason mraz,,make it mine,['pop'],['english'],['usa'],[],em,150.0,2000.0
92.0,Diego Torres,,Un Poquito,Gm,96,3:06,['Latin Pop'],['Spanish'],['Argentina'],2018,[],,,,diego torres,,un poquito,['latin pop'],['spanish'],['argentina'],[],gm,90.0,2010.0
93.0,Luis Fonsi,Carlos Vives,Santa Marta,Bb,97,3:20,['Latin Pop'],['Spanish'],"['Puerto Rico', 'Colombia']",2020,[],,,,luis fonsi,carlos vives,santa marta,['latin pop'],['spanish'],"['puerto rico', 'colombia']",[],bb,90.0,2020.0
94.0,Luis Fonsi,Jay Wheeler,San Juan,Ab,82,3:29,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,jay wheeler,san juan,['latin pop'],['spanish'],['puerto rico'],[],ab,80.0,2020.0
95.0,Luis Fonsi,Laura Pausini,Roma,D,77,3:27,['Latin Pop'],['Spanish'],"['Puerto Rico', 'Italy']",2020,['Aug chord'],,,,luis fonsi,laura pausini,roma,['latin pop'],['spanish'],"['puerto rico', 'italy']",['aug chord'],d,70.0,2020.0
96.0,Luis Fonsi,,Río,G,87,2:39,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,rio,['latin pop'],['spanish'],['puerto rico'],[],g,80.0,2020.0
97.0,Luis Fonsi,,Panamá (Pasa La Página),Am,100,2:50,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,panama (pasa la pagina),['latin pop'],['spanish'],['puerto rico'],[],am,100.0,2020.0
98.0,Luis Fonsi,,México,A,105,2:44,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,mexico,['latin pop'],['spanish'],['puerto rico'],[],a,100.0,2020.0
99.0,Luis Fonsi,,Medellín,A,130,2:50,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,medellin,['latin pop'],['spanish'],['puerto rico'],[],a,130.0,2020.0
100.0,Luis Fonsi,Omar Montes,Marbella,Gm,123,2:33,['Latin Pop'],['Spanish'],"['Puerto Rico', 'Spain']",2020,[],,,,luis fonsi,omar montes,marbella,['latin pop'],['spanish'],"['puerto rico', 'spain']",[],gm,120.0,2020.0
101.0,Luis Fonsi,,La Romana,C,130,2:35,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,la romana,['latin pop'],['spanish'],['puerto rico'],[],c,130.0,2020.0
102.0,Luis Fonsi,,Buenos Aires,Am,92,2:55,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,buenos aires,['latin pop'],['spanish'],['puerto rico'],[],am,90.0,2020.0
103.0,Luis Fonsi,,Andalucía,E,55,3:29,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,luis fonsi,,andalucia,['latin pop'],['spanish'],['puerto rico'],[],e,50.0,2020.0
104.0,Victor Muñoz,,Corazón Abierto,D,120,3:50,['Latin Pop'],['Spanish'],['Venezuela'],2017,[],,,,victor munoz,,corazon abierto,['latin pop'],['spanish'],['venezuela'],[],d,120.0,2010.0
105.0,Ricky Martin,,Lo Mejor de Mi Vida Eres Tú,Eb,129,3:36,['Latin Pop'],['Spanish'],['Puerto Rico'],2010,[],,,,ricky martin,,lo mejor de mi vida eres tu,['latin pop'],['spanish'],['puerto rico'],[],eb,120.0,2010.0
106.0,Reik,,Pero Te Conocí,G,122,3:06,['Latin Pop'],['Spanish'],['Mexico'],2020,[],,,,reik,,pero te conoci,['latin pop'],['spanish'],['mexico'],[],g,120.0,2020.0
107.0,Ricardo Arjona,,Desnuda,G,68,4:14,['Latin Pop'],['Spanish'],['Guatemala'],1998,[],,,,ricardo arjona,,desnuda,['latin pop'],['spanish'],['guatemala'],[],g,60.0,1990.0
108.0,Enrique Iglesias,,Heroe,G,76,4:23,"['Pop', 'Latin']",['Spanish'],['Spain'],2001,[],,,,enrique iglesias,,heroe,"['pop', 'latin']",['spanish'],['spain'],[],g,70.0,2000.0
109.0,Ricky Martin,,Tiburones,C,94,3:14,['Latin Pop'],['Spanish'],['Puerto Rico'],2020,[],,,,ricky martin,,tiburones,['latin pop'],['spanish'],['puerto rico'],[],c,90.0,2020.0
110.0,Son By Four,,A Puro Dolor,C,75,3:31,"['Latin Pop', 'Ballad']",['Spanish'],['Puerto Rico'],1999,[],,,,son by four,,a puro dolor,"['latin pop', 'ballad']",['spanish'],['puerto rico'],[],c,70.0,1990.0
111.0,Greeicy,Mike Bahía,Amantes,D,92,3:55,['Latin Pop'],['Spanish'],['Colombia'],2017,['7ths party'],,,,greeicy,mike bahia,amantes,['latin pop'],['spanish'],['colombia'],['7ths party'],d,90.0,2010.0
112.0,Aventura,,Obsesion,C#m,134,4:15,['Bachata'],['Spanish'],['USA'],2002,[],,,,aventura,,obsesion,['bachata'],['spanish'],['usa'],[],c#m,130.0,2000.0
113.0,Marc Anthony,Jennifer Lopez,No Me Ames,C,83,4:38,['Salsa'],['Spanish'],"['USA', 'Puerto Rico']",1999,"['7ths party', 'Key changes']",,,,marc anthony,jennifer lopez,no me ames,['salsa'],['spanish'],"['usa', 'puerto rico']","['7ths party', 'key changes']",c,80.0,1990.0
